ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
421,BAKJEE_clean,BAKJEE_clean,3.251345257,2.483641476,0.767703781,4.141066703,1.280020725,1.667336748,4338.60986,0.91898,6.44764,5.41267,6.44764,868.84497,2002.58997,2179.1499,2745.6499,0.63284,0.68863,Co,Yes,Co
422,BAKJII_clean,BAKJII_clean,2.533078239,2.166646843,0.366431396,4.265270349,0.721358432,1.968604327,2078.04004,0.95934,6.19215,5.21845,6.19129,343.73599,1654.14001,1724.25,1296.69995,0.624,0.65045,Co,No, 
423,BAKJOO_clean,BAKJOO_clean,4.23230287,2.287004968,1.945297902,2.86824442,2.439692931,1.254148749,2975.75,1.0049,7.70901,5.72948,7.70901,457.957,1538.95996,1531.46997,1777.58997,0.59736,0.59445,Co,Yes,Co
425,BAKYOE_clean,BAKYOE_clean,2.959417446,2.275890859,0.683526588,3.337497151,1.00236267,1.46645747,3214.25,1.03097,7.11646,6.19226,7.11412,433.98099,1350.18005,1309.60999,1857.34998,0.57785,0.56049,Mg,No, 
429,BAMKIM_clean,BAMKIM_clean,3.354870607,2.068891838,1.285978769,2.143406009,1.332295179,1.036016465,3457.30005,1.10764,6.79615,5.75134,6.79615,442.09799,1278.73999,1154.46997,1963.06006,0.5678,0.51262,Cu,Yes,Cu
430,BAMKOS_clean,BAMKOS_clean,3.165950279,1.994854613,1.171095666,2.230452661,1.309405421,1.118102867,3439.59009,1.11335,6.76349,5.81846,6.62799,446.18399,1297.19995,1165.13,1950.31995,0.56702,0.50929,Cu,Yes,Cu
431,BANMAG_clean,BANMAG_clean,3.816974456,1.928859035,1.888115421,0.644227389,0.630619266,0.333994023,3039.95996,1.37401,8.68497,7.44113,8.68497,303.70599,999.04797,727.10303,1737.64001,0.5716,0.41601,"Nd,Co",Yes,Co
432,BAPDAA_clean,BAPDAA_clean,3.838969955,2.015833676,1.823136279,1.959616078,1.772292629,0.972111986,4532.06982,1.38142,12.36039,11.54677,12.35976,682.69098,1506.35999,1090.43994,3094.62988,0.68283,0.4943,Cd,Yes,Cd
434,BAQWIC_clean,BAQWIC_clean,2.364684683,2.025005131,0.339679552,1.165066699,0.195431275,0.575340122,2085.1001,1.63849,8.02487,5.97028,8.01109,270.228,1296,790.96899,1218.19995,0.58424,0.35657,Ag,Yes,Ag
439,BARZUR_clean,BARZUR_clean,4.755909115,3.354720828,1.401188286,3.509850398,1.465982273,1.04624217,2657.41992,0.92578,5.4946,5.30289,5.4946,327.414,1232.07996,1330.84998,1631.48999,0.61394,0.66316,Zn,Yes,Zn
